=== Courses offered for BTech CSE(core) ===

# University Core Courses - BTech CSE 2021

| Sl.No. | Basket Title | Course Code | Course Title | Course Type | Credits | Compulsory Course |
| 262 | Summer Internship Basket | INC2048 | PAANCA - Network Security Fundamentals | PJT | 2.0 | |
| 263 | Summer Internship Basket | INC2049 | PAANCA - Cloud Security Fundamentals | PJT | 2.0 | |
| 264 | Summer Internship Basket | INC2050 | PAANCA - Security Operations Fundamentals | PJT | 2.0 | |
| 265 | Summer Internship Basket | INC2051 | PAANCA - Enterprise Security Deployment | PJT | 2.0 | |
| 266 | Summer Internship Basket | INC2052 | PAANCA - Enterprise Security Management | PJT | 2.0 | |
| 267 | Summer Internship Basket | INC2053 | PAANCA - Cloud Security Deployment | PJT | 2.0 | |
| 268 | Summer Internship Basket | INC2054 | PAANCA - Security Operations | PJT | 2.0 | |
| 269 | Summer Internship Basket | INC2055 | PAANCA - Data Science | PJT | 2.0 | |
| 270 | Summer Internship Basket | INC2056 | Ethical Hacking Essentials | PJT | 2.0 | |
| 271 | Summer Internship Basket | INC2057 | Digital Forensics Essentials | PJT | 2.0 | |
| 272 | Summer Internship Basket | INC2058 | Network Defense Essentials | PJT | 2.0 | |
| 273 | Summer Internship Basket | INC2059 | Salesforce Developer | PJT | 2.0 | |
| 274 | Summer Internship Basket | INC2060 | Adobe UX & UI | PJT | 2.0 | |
| 275 | Summer Internship Basket | INC2061 | MongoDB Associate Database Administrator | PJT | 2.0 | |
| 276 | Summer Internship Basket | INC2062 | High Performance Coding - Advanced Data Structures & Algorithms using Java | PJT | 2.0 | |
| 277 | Summer Internship Basket | INC2063 | Design of Process Plant Equipment and Industrial Piping Systems | PJT | 2.0 | |
| 278 | Summer Internship Basket | INC2064 | Distributed CoughDB - CoughBase | PJT | 2.0 | |
| 279 | Summer Internship Basket | INC2065 | Embedded System Design Internship | PJT | 2.0 | |
| 280 | Summer Internship Basket | INC2066 | DP 900 - Microsoft Azure Data Fundamentals Exam | PJT | 2.0 | |
| 281 | Summer Internship Basket | INC2067 | Oracle Database Foundation | PJT | 2.0 | |
| 282 | Summer Internship Basket | INC2068 | Selenium Certiﬁcation Training Course in collab with PWC | PJT | 2.0 | |
| 283 | Summer Internship Basket | INC2069 | Artificial Intelligence using Google TensorFlow in collab with Google | PJT | 2.0 | |
| 284 | Summer Internship Basket | INC2070 | Generative AI Applications using Vertex AI in Collaboration with Google | PJT | 2.0 | |
| 285 | Summer Internship Basket | INC2071 | Full Stack Developer (MERN) with MongoDB Associate Developer Certification | PJT | 2.0 | |
| 286 | Summer Internship Basket | INC2072 | AI 900- Microsoft Azure AI Fundamentals Exam | PJT | 2.0 | |
| 287 | Summer Internship Basket | INC2073 | NASSCOM - Pragmatic Approach to Cyber Security | PJT | 2.0 | |
| 288 | Summer Internship Basket | INC2074 | Cyber Security & Ethical Hacking-SmartBridge | PJT | 2.0 | |
| 289 | Summer Internship Basket | INC3001 | Full stack Development with MERN | PJT | 2.0 | |
| 290 | Summer Internship Basket | INC3002 | Data Science & Business Analytics | PJT | 2.0 | |
| 291 | Summer Internship Basket | INC3003 | Embedded Systems and IoT | PJT | 2.0 | |
| 292 | Summer Internship Basket | INC3004 | Data Analytics & Big Data Fundamentals | PJT | 2.0 | |
| 293 | Summer Internship Basket | INC3005 | Cyber Security and Ethical Hacking | PJT | 2.0 | |
| 294 | Summer Internship Basket | INC3006 | UI/UX Developer | PJT | 2.0 | |
| 295 | Summer Internship Basket | INC3007 | Devops | PJT | 2.0 | |
| 296 | Summer Internship Basket | INC3008 | Gen AI and Chat GPT | PJT | 2.0 | |
| 297 | Summer Internship Basket | INC3009 | Blockchain Specialization | PJT | 2.0 | |
| 298 | Summer Internship Basket | INC3010 | Robotics Process Automation | PJT | 2.0 | |
| 299 | Summer Internship Basket | INC3011 | Cloud Computing | PJT | 2.0 | |
| 300 | Summer Internship Basket | INC3012 | Digital Marketing, Performance Optimization & CRM Tools | PJT | 2.0 | |
| 301 | Summer Internship Basket | INC3013 | AI for Management Graduates: Leveraging Artificial Intelligence in Business | PJT | 2.0 | |
| 302 | Summer Internship Basket | INC3014 | Project Management and Collaboration | PJT | 2.0 | |
| 303 | Summer Internship Basket | INC3015 | Product Management | PJT | 2.0 | |
| 304 | Summer Internship Basket | INC3016 | The Art of Storytelling for Beginners | PJT | 2.0 | |
| 305 | Summer Internship Basket | INC3017 | Supply Chain Management | PJT | 2.0 | |
| 306 | Summer Internship Basket | INC3018 | Brand Management | PJT | 2.0 | |
| 307 | Summer Internship Basket | INC3019 | Business Valuation Techniques | PJT | 2.0 | |
| 308 | Summer Internship Basket | INC3020 | Investment Banking Operations and Management | PJT | 2.0 | |
| 309 | Summer Internship Basket | INC3021 | Prompt Engineering | PJT | 2.0 | |
| 310 | Summer Internship Basket | INC3022 | Generative AI | PJT | 2.0 | |
| 311 | Summer Internship Basket | INC3023 | Quantum computing | PJT | 2.0 | |
| 312 | Summer Internship Basket | INC3024 | AutoML | PJT | 2.0 | |
| 313 | Summer Internship Basket | SIT1001 | Summer Internship | PJT | 2.0 | |
| 314 | Technology Foundation Basket for B.Tech CSE | CSE1006 | Foundations for Data Analytics | ETL | 3.0 | |
| 315 | Technology Foundation Basket for B.Tech CSE | CSE1007 | Introduction to Cryptography | ETL | 4.0 | |
| 316 | Technology Foundation Basket for B.Tech CSE | CSE1016 | Introduction to Edge Computing | TH | 3.0 | |
| 317 | Technology Foundation Basket for B.Tech CSE | CSE1017 | Introduction to Geographical Information Systems | TH | 3.0 | |
| 318 | Technology Foundation Basket for B.Tech CSE | CSE2003 | Requirements Engineering Management | ETP | 4.0 | |
| 319 | Technology Foundation Basket for B.Tech CSE | CSE3002 | Artificial Intelligence | ETL | 4.0 | |
| 320 | Technology Foundation Basket for B.Tech CSE | ECE1008 | Sensors and Control Systems | ETL | 4.0 | |
| 321 | Technology Foundation Basket for B.Tech CSE | ECE2001 | Analog Devices and Circuits | ETL | 4.0 | |
| 322 | Technology Foundation Basket for B.Tech CSE | ECE2005 | Signals and Systems | TH | 4.0 | |
| 323 | Technology Foundation Basket for B.Tech CSE | HUM1007 | Introduction to Digital Humanities : Doing Digital History | TH | 4.0 | |
| 324 | Technology Foundation Basket for B.Tech CSE | LIB1015 | Introduction to Communication and Rhetoric | TH | 4.0 | |
| 325 | Technology Foundation Basket for B.Tech CSE | MEC1008 | Engineering Mechanics | TH | 4.0 | |
| 326 | Technology Foundation Basket for B.Tech CSE | MEC1009 | Introduction to Digital Manufacturing | TH | 4.0 | |
| 327 | Technology Foundation Basket for B.Tech CSE | MEC2002 | Thermodynamics | TH | 4.0 | |
| 328 | Technology Foundation Basket for B.Tech CSE | MEC2021 | Mechatronics | TH | 4.0 | |
| 329 | Technology Foundation Basket for B.Tech CSE | MGT1007 | Economics for Engineers | TH | 3.0 | |
| 330 | Technology Foundation Basket for B.Tech CSE | MGT1036 | Introduction to Macroeconomics | TH | 3.0 | |
| 331 | Technology Foundation Basket for B.Tech CSE | MGT2016 | Essentials of Marketing Management | TH | 4.0 | |
| 332 | Technology Foundation Basket for B.Tech CSE | MGT2018 | Introduction to Management Accounting | TH | 3.0 | |
| 333 | Technology Foundation Basket for B.Tech CSE | PHY1002 | Semiconductor Device Physics | TH | 4.0 | |
| 334 | Technology Foundation Basket for B.Tech CSE | PHY1011 | Material Characterization Techniques | ETL | 4.0 | |
| 335 | Technology Foundation Basket for B.Tech CSE | SWE2008 | Object Oriented Analysis and Design | ETL | 4.0 | |
